GEOID,Label for GEO_ID,Total,Less than 10 percent,10 to 14 percent,15 to 19 percent,20 to 24 percent,25 to 29 percent,30 to 34 percent,35 to 39 percent,40 to 49 percent,50 percent or more,Not Computed
1400000US06001402300,"Census Tract 4023, Alameda County, California",88,4,14,13,11,14,0,0,0,25,7
1400000US06001402400,"Census Tract 4024, Alameda County, California",832,28,64,59,102,157,109,24,86,198,5
1400000US06001402500,"Census Tract 4025, Alameda County, California",533,37,33,85,64,50,36,40,43,117,28
1400000US06001402600,"Census Tract 4026, Alameda County, California",464,18,35,58,53,74,70,18,49,82,7
1400000US06001402700,"Census Tract 4027, Alameda County, California",522,45,14,60,88,50,20,37,39,121,48
1400000US06001402800,"Census Tract 4028, Alameda County, California","1,223",51,121,93,73,232,91,89,87,300,86
1400000US06001402900,"Census Tract 4029, Alameda County, California",872,33,81,78,150,232,55,57,35,131,20
1400000US06001403000,"Census Tract 4030, Alameda County, California","1,022",25,45,59,90,254,116,25,69,266,73
1400000US06001403100,"Census Tract 4031, Alameda County, California",372,16,46,38,16,40,25,24,40,89,38
1400000US06001403200,"Census Tract 4032, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
1400000US06001403300,"Census Tract 4033, Alameda County, California",732,20,41,119,82,163,61,79,42,90,35
1400000US06001403400,"Census Tract 4034, Alameda County, California","2,195",105,126,298,326,348,119,129,155,526,63
1400000US06001403500,"Census Tract 4035, Alameda County, California","3,238",112,254,534,421,425,313,213,209,669,88
1400000US06001403600,"Census Tract 4036, Alameda County, California","2,189",67,261,368,361,231,189,120,115,401,76
1400000US06001403700,"Census Tract 4037, Alameda County, California","2,640",135,340,433,344,256,230,107,115,597,83
1400000US06001403800,"Census Tract 4038, Alameda County, California","1,221",50,146,229,272,200,111,68,19,119,7
1400000US06001403900,"Census Tract 4039, Alameda County, California","1,535",95,118,292,246,215,117,80,92,280,0
1400000US06001404000,"Census Tract 4040, Alameda County, California","1,364",102,215,203,205,183,96,69,95,170,26
1400000US06001404100,"Census Tract 4041, Alameda County, California","2,530",141,243,357,338,306,146,125,197,625,52
1400000US06001404200,"Census Tract 4042, Alameda County, California",230,23,30,25,41,20,10,0,10,49,22
1400000US06001404300,"Census Tract 4043, Alameda County, California",241,42,6,27,28,11,27,38,15,29,18
1400000US06001404400,"Census Tract 4044, Alameda County, California",282,51,77,26,0,25,13,19,15,30,26
1400000US06001404501,"Census Tract 4045.01, Alameda County, California",120,14,14,26,27,18,0,0,0,8,13
1400000US06001404502,"Census Tract 4045.02, Alameda County, California",350,7,96,71,65,30,17,15,25,24,0
1400000US06001404600,"Census Tract 4046, Alameda County, California",140,24,27,26,14,0,5,5,5,16,18
1400000US06001404700,"Census Tract 4047, Alameda County, California",58,0,8,6,0,13,0,0,25,0,6
1400000US06001404800,"Census Tract 4048, Alameda County, California",667,36,93,101,121,65,48,38,54,87,24
1400000US06001404900,"Census Tract 4049, Alameda County, California",904,35,96,165,126,57,110,48,47,153,67
1400000US06001405000,"Census Tract 4050, Alameda County, California",687,54,106,150,96,92,54,45,22,68,0
1400000US06001405100,"Census Tract 4051, Alameda County, California",125,0,14,24,22,5,10,0,5,28,17
1400000US06001405200,"Census Tract 4052, Alameda County, California","1,814",129,295,229,384,189,126,147,101,169,45
1400000US06001405300,"Census Tract 4053, Alameda County, California","2,812",163,327,545,350,398,197,80,247,438,67
1400000US06001405400,"Census Tract 4054, Alameda County, California",2443,191,230,330,224,293,159,175,167,542,132
1400000US06001405500,"Census Tract 4055, Alameda County, California",1188,86,144,194,119,81,84,34,126,218,102
1400000US06001405600,"Census Tract 4056, Alameda County, California",1096,85,121,150,128,140,81,38,95,232,26
1400000US06001405700,"Census Tract 4057, Alameda County, California",943,28,90,117,174,102,83,44,59,211,35
1400000US06001405800,"Census Tract 4058, Alameda County, California",841,36,42,129,82,64,65,93,61,230,39
1400000US06001405900,"Census Tract 4059, Alameda County, California",1464,114,148,175,110,103,92,102,191,361,68
1400000US06001406000,"Census Tract 4060, Alameda County, California",1120,82,140,115,104,190,62,29,87,246,65
1400000US06001406100,"Census Tract 4061, Alameda County, California",878,46,90,79,64,170,82,64,53,194,36
1400000US06001406201,"Census Tract 4062.01, Alameda County, California",1082,72,173,116,66,90,78,58,148,237,44
1400000US06001406202,"Census Tract 4062.02, Alameda County, California","1,018",69,168,126,181,72,74,53,43,222,10
1400000US06001406300,"Census Tract 4063, Alameda County, California",763,97,64,85,95,96,77,37,45,153,14
1400000US06001406400,"Census Tract 4064, Alameda County, California",322,8,46,40,15,27,22,8,53,90,13
1400000US06001406500,"Census Tract 4065, Alameda County, California",1248,95,94,176,158,184,59,63,76,287,56
1400000US06001406600,"Census Tract 4066, Alameda County, California","1,633",60,210,227,191,134,128,106,157,369,51
1400000US06001406700,"Census Tract 4067, Alameda County, California",668,25,109,150,118,39,56,31,52,66,22
1400000US06001406800,"Census Tract 4068, Alameda County, California",414,21,43,34,60,53,46,48,16,73,20
1400000US06001406900,"Census Tract 4069, Alameda County, California",608,40,68,97,133,72,6,24,56,70,42
1400000US06001407000,"Census Tract 4070, Alameda County, California",1243,75,114,176,124,138,151,52,129,251,33
1400000US06001407100,"Census Tract 4071, Alameda County, California","1,318",66,152,242,203,121,60,89,89,239,57
1400000US06001407200,"Census Tract 4072, Alameda County, California",1223,88,123,152,127,117,122,57,92,280,65
1400000US06001407300,"Census Tract 4073, Alameda County, California",477,24,61,55,58,34,27,29,37,127,25
1400000US06001407400,"Census Tract 4074, Alameda County, California",724,44,43,119,32,119,48,38,47,205,29
1400000US06001407500,"Census Tract 4075, Alameda County, California",835,24,73,102,74,63,47,48,75,258,71
1400000US06001407600,"Census Tract 4076, Alameda County, California",1150,64,105,127,117,82,89,42,54,415,55
1400000US06001407700,"Census Tract 4077, Alameda County, California",432,13,28,40,53,29,25,0,24,177,43
1400000US06001407800,"Census Tract 4078, Alameda County, California",256,11,18,49,58,38,6,12,23,18,23
1400000US06001407900,"Census Tract 4079, Alameda County, California",326,16,61,39,50,26,21,27,18,50,18
1400000US06001408000,"Census Tract 4080, Alameda County, California",72,6,6,6,5,16,6,5,4,13,5
1400000US06001408100,"Census Tract 4081, Alameda County, California",599,8,76,114,76,95,16,33,34,124,23
1400000US06001408200,"Census Tract 4082, Alameda County, California",891,14,52,123,111,95,70,78,99,186,63
1400000US06001408300,"Census Tract 4083, Alameda County, California",531,8,62,62,60,58,62,32,49,107,31
1400000US06001408400,"Census Tract 4084, Alameda County, California",643,22,49,37,67,82,43,50,68,205,20
1400000US06001408500,"Census Tract 4085, Alameda County, California",726,8,75,74,40,99,16,73,80,247,14
1400000US06001408600,"Census Tract 4086, Alameda County, California",759,23,69,94,120,80,88,29,64,179,13
1400000US06001408700,"Census Tract 4087, Alameda County, California",1124,56,83,107,177,122,69,63,124,258,65
1400000US06001408800,"Census Tract 4088, Alameda County, California",949,94,80,112,165,59,57,45,53,233,51
1400000US06001408900,"Census Tract 4089, Alameda County, California",654,7,60,67,50,146,64,27,59,156,18
1400000US06001409000,"Census Tract 4090, Alameda County, California",377,45,25,28,10,29,27,43,0,134,36
1400000US06001409100,"Census Tract 4091, Alameda County, California",212,18,0,22,37,8,9,8,30,51,29
1400000US06001409200,"Census Tract 4092, Alameda County, California",297,7,42,47,19,26,15,12,14,107,8
1400000US06001409300,"Census Tract 4093, Alameda County, California",749,45,61,101,88,75,49,71,68,160,31
1400000US06001409400,"Census Tract 4094, Alameda County, California",589,46,86,54,76,57,67,37,29,121,16
1400000US06001409500,"Census Tract 4095, Alameda County, California",557,35,47,45,48,78,32,67,35,145,25
1400000US06001409600,"Census Tract 4096, Alameda County, California",807,28,103,93,65,90,60,53,31,240,44
1400000US06001409700,"Census Tract 4097, Alameda County, California","1,014",43,75,101,137,69,76,57,88,301,67
1400000US06001409800,"Census Tract 4098, Alameda County, California",398,21,20,41,35,57,23,20,31,91,59
1400000US06001409900,"Census Tract 4099, Alameda County, California",132,3,21,23,8,0,0,8,26,22,21
1400000US06001410000,"Census Tract 4100, Alameda County, California",80,0,0,10,14,6,13,8,7,22,0
1400000US06001410100,"Census Tract 4101, Alameda County, California",349,42,25,20,29,23,34,5,28,110,33
1400000US06001410200,"Census Tract 4102, Alameda County, California",593,37,52,81,82,43,7,32,54,155,50
1400000US06001410300,"Census Tract 4103, Alameda County, California",548,29,50,36,48,18,62,47,38,187,33
1400000US06001410400,"Census Tract 4104, Alameda County, California",336,10,57,46,64,11,12,16,30,63,27
1400000US06001420100,"Census Tract 4201, Alameda County, California",267,7,38,22,45,32,26,12,5,57,23
1400000US06001420200,"Census Tract 4202, Alameda County, California",779,12,87,150,107,109,86,48,31,132,17
1400000US06001420300,"Census Tract 4203, Alameda County, California",996,66,87,121,156,119,102,30,87,182,46
1400000US06001420400,"Census Tract 4204, Alameda County, California",604,10,72,79,81,73,42,31,69,99,48
1400000US06001420500,"Census Tract 4205, Alameda County, California",526,13,49,147,61,41,48,38,13,84,32
1400000US06001420600,"Census Tract 4206, Alameda County, California",281,20,48,29,31,56,23,7,13,31,23
1400000US06001421100,"Census Tract 4211, Alameda County, California",76,16,7,5,0,13,7,0,5,16,7
1400000US06001421200,"Census Tract 4212, Alameda County, California",118,9,28,23,17,0,10,7,0,12,12
1400000US06001421300,"Census Tract 4213, Alameda County, California",286,28,32,78,41,14,7,0,7,71,8
1400000US06001421400,"Census Tract 4214, Alameda County, California",65,8,0,0,11,5,0,10,11,20,0
1400000US06001421500,"Census Tract 4215, Alameda County, California",312,11,12,48,37,30,17,0,19,98,40
1400000US06001421600,"Census Tract 4216, Alameda County, California",389,36,44,73,70,32,38,6,16,44,30
1400000US06001421700,"Census Tract 4217, Alameda County, California",1021,98,135,169,143,53,71,45,37,236,34
1400000US06001421800,"Census Tract 4218, Alameda County, California",304,0,27,17,40,53,34,20,33,80,0
1400000US06001421900,"Census Tract 4219, Alameda County, California",625,41,105,112,98,58,41,27,31,79,33
1400000US06001422000,"Census Tract 4220, Alameda County, California",353,43,35,53,63,18,5,0,9,127,0
1400000US06001422100,"Census Tract 4221, Alameda County, California",579,14,43,66,78,64,69,55,34,133,23
1400000US06001422200,"Census Tract 4222, Alameda County, California",907,73,98,88,93,93,50,60,73,245,34
1400000US06001422300,"Census Tract 4223, Alameda County, California",992,42,108,149,110,153,93,44,53,209,31
1400000US06001422400,"Census Tract 4224, Alameda County, California","1,752",65,201,224,150,102,146,97,197,514,56
1400000US06001422500,"Census Tract 4225, Alameda County, California",1330,48,103,175,100,34,39,67,109,533,122
1400000US06001422600,"Census Tract 4226, Alameda County, California",17,0,0,0,0,0,0,0,0,0,17
1400000US06001422700,"Census Tract 4227, Alameda County, California",963,69,66,61,64,44,76,32,39,395,117
1400000US06001422800,"Census Tract 4228, Alameda County, California",1554,27,60,94,73,132,51,49,101,724,243
1400000US06001422900,"Census Tract 4229, Alameda County, California","1,436",97,74,103,106,116,57,50,132,588,113
1400000US06001423000,"Census Tract 4230, Alameda County, California","1,222",90,139,156,95,168,76,83,112,252,51
1400000US06001423100,"Census Tract 4231, Alameda County, California",1039,57,104,153,161,113,85,78,71,168,49
1400000US06001423200,"Census Tract 4232, Alameda County, California",774,38,110,94,84,83,81,13,62,164,45
1400000US06001423300,"Census Tract 4233, Alameda County, California",711,24,98,59,77,85,48,9,50,192,69
1400000US06001423400,"Census Tract 4234, Alameda County, California",1205,110,95,113,164,118,80,42,128,302,53
1400000US06001423500,"Census Tract 4235, Alameda County, California",947,51,57,88,98,151,65,53,77,227,80
1400000US06001423601,"Census Tract 4236.01, Alameda County, California",760,72,120,113,43,66,27,0,65,169,85
1400000US06001423602,"Census Tract 4236.02, Alameda County, California","2,214",100,53,180,177,159,100,73,80,1018,274
1400000US06001423700,"Census Tract 4237, Alameda County, California",879,23,66,101,133,115,43,41,37,216,104
1400000US06001423800,"Census Tract 4238, Alameda County, California",323,28,37,42,55,24,18,13,6,57,43
1400000US06001423901,"Census Tract 4239.01, Alameda County, California",525,20,69,49,79,56,52,54,44,61,41
1400000US06001423902,"Census Tract 4239.02, Alameda County, California",479,19,58,108,47,41,14,7,18,147,20
1400000US06001424001,"Census Tract 4240.01, Alameda County, California",1059,44,56,132,156,61,131,37,113,286,43
1400000US06001424002,"Census Tract 4240.02, Alameda County, California",488,20,22,68,49,60,38,28,50,135,18
1400000US06001425100,"Census Tract 4251, Alameda County, California","2,511",131,250,324,295,189,226,126,206,576,188
1400000US06001426100,"Census Tract 4261, Alameda County, California",115,0,33,20,32,10,0,0,0,20,0
1400000US06001426200,"Census Tract 4262, Alameda County, California",239,6,18,23,46,29,34,17,23,43,0
1400000US06001427100,"Census Tract 4271, Alameda County, California",370,39,72,98,15,36,14,14,32,37,13
1400000US06001427200,"Census Tract 4272, Alameda County, California","1,038",45,155,157,111,81,138,38,87,211,15
1400000US06001427300,"Census Tract 4273, Alameda County, California",1103,41,97,195,84,145,149,106,57,189,40
1400000US06001427400,"Census Tract 4274, Alameda County, California",376,7,6,0,12,8,30,0,5,0,308
1400000US06001427500,"Census Tract 4275, Alameda County, California",101,0,23,7,14,7,21,14,15,0,0
1400000US06001427600,"Census Tract 4276, Alameda County, California","1,408",69,184,232,165,136,92,114,94,294,28
1400000US06001427700,"Census Tract 4277, Alameda County, California","1,577",60,229,230,249,215,137,101,122,183,51
1400000US06001427800,"Census Tract 4278, Alameda County, California","1,297",87,181,235,195,86,65,88,72,250,38
1400000US06001427900,"Census Tract 4279, Alameda County, California","1,398",78,188,242,252,165,70,74,24,261,44
1400000US06001428000,"Census Tract 4280, Alameda County, California","1,177",85,160,188,188,148,71,125,63,130,19
1400000US06001428100,"Census Tract 4281, Alameda County, California",944,57,64,156,135,125,79,52,82,157,37
1400000US06001428200,"Census Tract 4282, Alameda County, California","1,109",86,97,232,161,130,76,84,41,168,34
1400000US06001428301,"Census Tract 4283.01, Alameda County, California",433,28,68,42,61,25,62,36,53,50,8
1400000US06001428302,"Census Tract 4283.02, Alameda County, California",277,9,30,58,26,22,0,8,9,78,37
1400000US06001428400,"Census Tract 4284, Alameda County, California","1,360",79,157,198,211,194,97,92,77,221,34
1400000US06001428500,"Census Tract 4285, Alameda County, California","1,022",40,104,175,134,123,62,36,94,213,41
1400000US06001428600,"Census Tract 4286, Alameda County, California",745,20,72,170,137,93,57,36,33,107,20
1400000US06001430100,"Census Tract 4301, Alameda County, California",161,0,37,20,38,24,0,0,10,20,12
1400000US06001430200,"Census Tract 4302, Alameda County, California",199,9,29,47,44,17,27,0,9,17,0
1400000US06001430300,"Census Tract 4303, Alameda County, California",116,12,5,20,14,27,0,5,5,24,4
1400000US06001430400,"Census Tract 4304, Alameda County, California",33,5,0,10,4,0,0,0,0,10,4
1400000US06001430500,"Census Tract 4305, Alameda County, California",867,77,103,138,117,136,123,51,68,54,0
1400000US06001430600,"Census Tract 4306, Alameda County, California",304,0,44,41,53,52,40,19,0,21,34
1400000US06001430700,"Census Tract 4307, Alameda County, California",259,5,41,33,52,22,24,25,5,43,9
1400000US06001430800,"Census Tract 4308, Alameda County, California",648,10,82,80,98,80,80,47,44,93,34
1400000US06001430900,"Census Tract 4309, Alameda County, California","1,513",57,172,215,297,156,143,111,93,187,82
1400000US06001431000,"Census Tract 4310, Alameda County, California",708,17,73,143,91,110,42,53,40,128,11
1400000US06001431100,"Census Tract 4311, Alameda County, California",837,35,65,100,198,33,107,63,65,141,30
1400000US06001431200,"Census Tract 4312, Alameda County, California","1,182",60,78,179,174,46,121,116,72,303,33
1400000US06001432100,"Census Tract 4321, Alameda County, California",378,7,35,53,33,45,7,70,33,60,35
1400000US06001432200,"Census Tract 4322, Alameda County, California",810,43,89,92,74,96,54,60,63,225,14
1400000US06001432300,"Census Tract 4323, Alameda County, California",559,42,73,101,80,49,28,45,45,77,19
1400000US06001432400,"Census Tract 4324, Alameda County, California",887,48,130,124,134,99,90,47,42,130,43
1400000US06001432500,"Census Tract 4325, Alameda County, California","1,084",18,148,169,197,144,160,13,65,115,55
1400000US06001432600,"Census Tract 4326, Alameda County, California","1,897",120,209,246,247,281,151,87,144,348,64
1400000US06001432700,"Census Tract 4327, Alameda County, California",228,19,18,53,28,32,24,7,15,15,17
1400000US06001432800,"Census Tract 4328, Alameda County, California",268,13,15,32,32,6,46,14,32,41,37
1400000US06001433000,"Census Tract 4330, Alameda County, California",233,0,19,48,26,40,24,8,16,43,9
1400000US06001433101,"Census Tract 4331.01, Alameda County, California","2,308",73,191,322,372,312,241,150,250,290,107
1400000US06001433102,"Census Tract 4331.02, Alameda County, California",408,13,57,55,73,49,50,11,30,60,10
1400000US06001433200,"Census Tract 4332, Alameda County, California","1,512",91,170,222,223,147,94,48,153,317,47
1400000US06001433300,"Census Tract 4333, Alameda County, California",364,12,50,65,56,24,43,14,32,33,35
1400000US06001433400,"Census Tract 4334, Alameda County, California",269,0,14,36,98,27,18,30,17,22,7
1400000US06001433500,"Census Tract 4335, Alameda County, California",183,13,43,25,5,23,17,23,14,20,0
1400000US06001433600,"Census Tract 4336, Alameda County, California",818,20,63,197,105,124,107,20,53,118,11
1400000US06001433700,"Census Tract 4337, Alameda County, California",567,25,94,100,94,77,25,39,25,71,17
1400000US06001433800,"Census Tract 4338, Alameda County, California","1,250",107,135,172,146,110,132,85,118,211,34
1400000US06001433900,"Census Tract 4339, Alameda County, California","1,877",84,332,166,299,273,140,119,108,299,57
1400000US06001434000,"Census Tract 4340, Alameda County, California",948,71,83,126,85,162,82,44,62,218,15
1400000US06001435101,"Census Tract 4351.01, Alameda County, California","1,743",64,140,272,229,240,193,168,130,283,24
1400000US06001435102,"Census Tract 4351.02, Alameda County, California",537,25,56,74,72,34,59,38,41,113,25
1400000US06001435200,"Census Tract 4352, Alameda County, California",281,19,40,26,41,49,5,16,6,63,16
1400000US06001435300,"Census Tract 4353, Alameda County, California",991,44,100,275,128,93,58,29,93,139,32
1400000US06001435400,"Census Tract 4354, Alameda County, California","1,439",50,124,190,169,154,139,89,92,394,38
1400000US06001435500,"Census Tract 4355, Alameda County, California",962,31,56,172,140,99,70,26,68,273,27
1400000US06001435600,"Census Tract 4356, Alameda County, California","2,114",65,259,298,280,386,181,105,183,298,59
1400000US06001435700,"Census Tract 4357, Alameda County, California",456,24,24,85,69,69,24,37,19,68,37
1400000US06001435800,"Census Tract 4358, Alameda County, California",306,0,39,75,49,12,34,6,12,66,13
1400000US06001435900,"Census Tract 4359, Alameda County, California",200,15,9,42,30,28,17,12,20,20,7
1400000US06001436000,"Census Tract 4360, Alameda County, California",215,3,11,13,54,20,20,31,20,25,18
1400000US06001436100,"Census Tract 4361, Alameda County, California",628,29,64,52,87,54,51,44,73,110,64
1400000US06001436200,"Census Tract 4362, Alameda County, California",869,57,130,122,129,93,48,77,24,157,32
1400000US06001436300,"Census Tract 4363, Alameda County, California","1,380",79,146,191,199,161,103,82,171,234,14
1400000US06001436401,"Census Tract 4364.01, Alameda County, California","1,323",43,121,185,125,81,169,86,139,318,56
1400000US06001436402,"Census Tract 4364.02, Alameda County, California",60,0,7,0,0,18,15,0,4,9,7
1400000US06001436500,"Census Tract 4365, Alameda County, California",1314,19,205,264,156,111,128,61,50,268,52
1400000US06001436601,"Census Tract 4366.01, Alameda County, California","1,150",61,120,160,129,126,119,123,66,208,38
1400000US06001436602,"Census Tract 4366.02, Alameda County, California","1,257",36,137,132,217,189,102,60,118,259,7
1400000US06001436700,"Census Tract 4367, Alameda County, California",251,27,18,37,53,12,17,0,26,41,20
1400000US06001436800,"Census Tract 4368, Alameda County, California",665,12,71,109,108,60,73,69,14,129,20
1400000US06001436900,"Census Tract 4369, Alameda County, California","1,023",72,175,114,111,108,66,47,87,186,57
1400000US06001437000,"Census Tract 4370, Alameda County, California",214,6,56,29,53,36,7,6,5,16,0
1400000US06001437100,"Census Tract 4371, Alameda County, California",856,64,73,87,145,139,71,40,90,99,48
1400000US06001437200,"Census Tract 4372, Alameda County, California",743,0,49,202,28,120,56,32,46,163,47
1400000US06001437300,"Census Tract 4373, Alameda County, California",403,28,85,79,44,45,21,32,13,36,20
1400000US06001437400,"Census Tract 4374, Alameda County, California",119,3,11,23,17,21,6,0,16,16,6
1400000US06001437500,"Census Tract 4375, Alameda County, California",868,6,84,131,114,135,92,92,23,163,28
1400000US06001437600,"Census Tract 4376, Alameda County, California",331,28,52,42,50,62,7,26,5,59,0
1400000US06001437700,"Census Tract 4377, Alameda County, California","1,894",65,166,253,315,189,218,148,103,395,42
1400000US06001437800,"Census Tract 4378, Alameda County, California",305,25,45,41,51,23,35,21,5,47,12
1400000US06001437900,"Census Tract 4379, Alameda County, California",361,28,54,36,37,71,34,7,11,75,8
1400000US06001438000,"Census Tract 4380, Alameda County, California",336,22,12,48,63,27,6,47,33,49,29
1400000US06001438100,"Census Tract 4381, Alameda County, California",378,40,35,71,41,36,47,24,30,20,34
1400000US06001438201,"Census Tract 4382.01, Alameda County, California",141,10,23,22,32,0,0,8,15,31,0
1400000US06001438202,"Census Tract 4382.02, Alameda County, California",449,10,55,38,84,65,10,29,70,67,21
1400000US06001438300,"Census Tract 4383, Alameda County, California",155,16,29,26,9,13,11,13,4,25,9
1400000US06001438400,"Census Tract 4384, Alameda County, California",69,0,4,15,5,17,0,0,3,25,0
1400000US06001440100,"Census Tract 4401, Alameda County, California",269,8,43,40,56,21,29,7,12,47,6
1400000US06001440200,"Census Tract 4402, Alameda County, California",644,49,102,134,73,57,59,27,22,85,36
1400000US06001440301,"Census Tract 4403.01, Alameda County, California",409,27,81,109,17,14,42,0,31,68,20
1400000US06001440302,"Census Tract 4403.02, Alameda County, California",269,19,17,72,23,20,25,48,8,26,11
1400000US06001440304,"Census Tract 4403.04, Alameda County, California",378,33,22,39,42,38,41,12,30,118,3
1400000US06001440305,"Census Tract 4403.05, Alameda County, California",167,4,25,19,17,37,0,27,4,29,5
1400000US06001440306,"Census Tract 4403.06, Alameda County, California",233,0,34,39,66,14,28,13,13,26,0
1400000US06001440307,"Census Tract 4403.07, Alameda County, California",387,10,73,76,57,24,64,21,29,21,12
1400000US06001440308,"Census Tract 4403.08, Alameda County, California",804,11,44,134,98,127,101,59,56,149,25
1400000US06001440309,"Census Tract 4403.09, Alameda County, California",860,26,87,173,169,114,33,46,59,124,29
1400000US06001440331,"Census Tract 4403.31, Alameda County, California",470,19,43,69,47,48,80,48,40,76,0
1400000US06001440332,"Census Tract 4403.32, Alameda County, California",16,0,0,5,0,0,0,0,0,6,5
1400000US06001441100,"Census Tract 4411, Alameda County, California",266,10,31,39,54,31,18,0,20,44,19
1400000US06001441200,"Census Tract 4412, Alameda County, California",873,32,63,214,109,108,54,49,115,104,25
1400000US06001441301,"Census Tract 4413.01, Alameda County, California",592,0,35,123,106,77,75,17,51,97,11
1400000US06001441302,"Census Tract 4413.02, Alameda County, California",531,20,65,74,77,57,73,13,31,106,15
1400000US06001441401,"Census Tract 4414.01, Alameda County, California",777,51,81,81,122,81,65,50,65,152,29
1400000US06001441402,"Census Tract 4414.02, Alameda County, California",391,0,70,94,14,34,65,29,10,37,38
1400000US06001441501,"Census Tract 4415.01, Alameda County, California",193,12,12,18,39,12,17,0,17,66,0
1400000US06001441503,"Census Tract 4415.03, Alameda County, California","1,374",39,188,297,306,179,136,55,58,91,25
1400000US06001441521,"Census Tract 4415.21, Alameda County, California",312,8,30,23,20,37,42,11,11,109,21
1400000US06001441522,"Census Tract 4415.22, Alameda County, California",254,10,36,49,58,8,0,13,40,24,16
1400000US06001441601,"Census Tract 4416.01, Alameda County, California",260,0,20,13,55,36,43,28,44,9,12
1400000US06001441602,"Census Tract 4416.02, Alameda County, California",904,14,86,139,118,104,96,71,91,163,22
1400000US06001441700,"Census Tract 4417, Alameda County, California","1,085",27,95,153,152,128,110,70,124,202,24
1400000US06001441800,"Census Tract 4418, Alameda County, California",859,52,84,188,87,78,113,61,42,132,22
1400000US06001441901,"Census Tract 4419.01, Alameda County, California","2,950",192,286,520,546,309,278,262,191,275,91
1400000US06001441921,"Census Tract 4419.21, Alameda County, California",466,17,84,99,98,77,27,19,24,21,0
1400000US06001441922,"Census Tract 4419.22, Alameda County, California","2,260",91,280,390,417,218,118,88,143,436,79
1400000US06001441923,"Census Tract 4419.23, Alameda County, California","1,927",92,181,299,273,258,138,100,104,413,69
1400000US06001442000,"Census Tract 4420, Alameda County, California",60,0,0,16,0,0,0,14,21,9,0
1400000US06001442100,"Census Tract 4421, Alameda County, California",177,6,23,31,20,29,10,10,16,14,18
1400000US06001442200,"Census Tract 4422, Alameda County, California",323,0,21,49,86,35,23,36,32,28,13
1400000US06001442300,"Census Tract 4423, Alameda County, California","1,904",65,211,323,348,299,117,100,109,306,26
1400000US06001442400,"Census Tract 4424, Alameda County, California",567,22,45,80,132,71,28,34,39,87,29
1400000US06001442500,"Census Tract 4425, Alameda County, California",823,74,41,123,185,126,73,48,28,119,6
1400000US06001442600,"Census Tract 4426, Alameda County, California","1,101",69,117,134,240,169,66,64,105,121,16
1400000US06001442700,"Census Tract 4427, Alameda County, California",231,4,28,50,16,60,34,5,7,27,0
1400000US06001442800,"Census Tract 4428, Alameda County, California",174,0,20,20,60,13,5,14,10,24,8
1400000US06001442900,"Census Tract 4429, Alameda County, California",641,28,93,130,101,62,66,15,39,78,29
1400000US06001443001,"Census Tract 4430.01, Alameda County, California",137,0,20,34,27,27,0,0,17,12,0
